post_text,time,likes,shares,comments,src,fake_status,last_word,finalized,words,avg_word_length,urgent_words,post_text_tokens,final_words,stop_words,marks,exclamation_marks,keywords,Predictions
безмилостна майка преби брутално 11-месечното си бебе в мадан,14-01-21 17:14,-0.31670708809695647,-0.2823270121363131,-0.4615124021058995,nowini336,1,мадан,True,9,5.888888889,0,"['безмилостна', 'майка', 'преби', 'брутално', '11-месечното', 'си', 'бебе', 'в', 'мадан']","['безмилостна', 'майка', 'преби', 'брутално', '11месечното', 'си', 'бебе', 'в', 'мадан']",2,1,0,месечното си бебе в мадан безмилостна майка преби брутално 11,1
"“мечтая да бъда булка” – глория най-сетне призна, че е сгодена. ето кога ще я видим в бяло (снимки):",14-01-21 16:43,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,(снимки):,True,19,4.315789474,0,"['“', 'мечтая', 'да', 'бъда', 'булка', '”', '–', 'глория', 'най-сетне', 'призна', ',', 'че', 'е', 'сгодена', '.', 'ето', 'кога', 'ще', 'я', 'видим', 'в', 'бяло', '(', 'снимки', ')', ':']","['', 'мечтая', 'да', 'бъда', 'булка', '', '', 'глория', 'найсетне', 'призна', 'че', 'е', 'сгодена', 'ето', 'кога', 'ще', 'я', 'видим', 'в', 'бяло', '', 'снимки', '']",8,4,0,“ мечтая да бъда булка ” – глория най ето кога ще я видим в бяло че е сгодена снимки ): сетне призна,1
"15:50, бойко борисов даде зелена светлина: тази мярка пада!",14-01-21 16:13,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,пада!,True,9,5.666666667,0,"['15:50', ',', 'бойко', 'борисов', 'даде', 'зелена', 'светлина', ':', 'тази', 'мярка', 'пада', '!']","['1550', 'бойко', 'борисов', 'даде', 'зелена', 'светлина', 'тази', 'мярка', 'пада']",1,4,1,бойко борисов даде зелена светлина тази мярка пада 50 15,1
момиче с рак на черния дроб посочи първите симптоми на болестта,14-01-21 15:43,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,nowini336,1,болестта,True,11,4.818181818,0,"['момиче', 'с', 'рак', 'на', 'черния', 'дроб', 'посочи', 'първите', 'симптоми', 'на', 'болестта']","['момиче', 'с', 'рак', 'на', 'черния', 'дроб', 'посочи', 'първите', 'симптоми', 'на', 'болестта']",3,0,0,момиче с рак на черния дроб посочи първите симптоми на болестта,1
извънредно: баща хвана и преби собственото си детенце на 2 годинки –,14-01-21 14:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,–,False,12,4.75,1,"['извънредно', ':', 'баща', 'хвана', 'и', 'преби', 'собственото', 'си', 'детенце', 'на', '2', 'годинки', '–']","['извънредно', 'баща', 'хвана', 'и', 'преби', 'собственото', 'си', 'детенце', 'на', '2', 'годинки', '']",3,1,0,баща хвана и преби собственото си детенце на 2 годинки – извънредно,1
"мъж се натъкна на собствения си гроб, откри защо приятелите му са спрели да го търсят",14-01-21 13:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,търсят,True,16,4.375,0,"['мъж', 'се', 'натъкна', 'на', 'собствения', 'си', 'гроб', ',', 'откри', 'защо', 'приятелите', 'му', 'са', 'спрели', 'да', 'го', 'търсят']","['мъж', 'се', 'натъкна', 'на', 'собствения', 'си', 'гроб', 'откри', 'защо', 'приятелите', 'му', 'са', 'спрели', 'да', 'го', 'търсят']",8,1,0,откри защо приятелите му са спрели да го търсят мъж се натъкна на собствения си гроб,1
"страшно земетресение над 8 по рихтер ще стане всеки момент, учените бият аларма",14-01-21 12:43,-0.31556867503924085,-0.2823270121363131,-0.4154719824985286,nowini336,1,аларма,True,13,5.153846154,0,"['страшно', 'земетресение', 'над', '8', 'по', 'рихтер', 'ще', 'стане', 'всеки', 'момент', ',', 'учените', 'бият', 'аларма']","['страшно', 'земетресение', 'над', '8', 'по', 'рихтер', 'ще', 'стане', 'всеки', 'момент', 'учените', 'бият', 'аларма']",4,1,0,страшно земетресение над 8 по рихтер ще стане всеки момент учените бият аларма,1
"майка, възпитателка в детска градина, изхвърли сина си от 4-тия етаж, защото й пречел да прави любов",14-01-21 9:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,любов,True,17,4.941176471,0,"['майка', ',', 'възпитателка', 'в', 'детска', 'градина', ',', 'изхвърли', 'сина', 'си', 'от', '4-тия', 'етаж', ',', 'защото', 'й', 'пречел', 'да', 'прави', 'любов']","['майка', 'възпитателка', 'в', 'детска', 'градина', 'изхвърли', 'сина', 'си', 'от', '4тия', 'етаж', 'защото', 'й', 'пречел', 'да', 'прави', 'любов']",7,4,0,защото й пречел да прави любов изхвърли сина си от 4 възпитателка в детска градина тия етаж майка,1
баща преби брутално двете си дъщерички заради висока сметка за вода,14-01-21 7:43,-0.31556867503924085,-0.2823270121363131,-0.4615124021058995,nowini336,1,вода,True,11,5.181818182,0,"['баща', 'преби', 'брутално', 'двете', 'си', 'дъщерички', 'заради', 'висока', 'сметка', 'за', 'вода']","['баща', 'преби', 'брутално', 'двете', 'си', 'дъщерички', 'заради', 'висока', 'сметка', 'за', 'вода']",4,0,0,баща преби брутално двете си дъщерички заради висока сметка за вода,1
100 000 споделиха този кадър. полицайка взе изоставено мирешещо и мръсно бебе и му даде своята,14-01-21 0:40,-0.30873819669294705,-0.2823270121363131,-0.46808960490695245,nowini336,1,своята,True,16,4.9375,0,"['100', '000', 'споделиха', 'този', 'кадър', '.', 'полицайка', 'взе', 'изоставено', 'мирешещо', 'и', 'мръсно', 'бебе', 'и', 'му', 'даде', 'своята']","['100', '000', 'споделиха', 'този', 'кадър', 'полицайка', 'взе', 'изоставено', 'мирешещо', 'и', 'мръсно', 'бебе', 'и', 'му', 'даде', 'своята']",4,1,0,полицайка взе изоставено мирешещо и мръсно бебе и му даде своята 100 000 споделиха този кадър,1
"момичето, което живее в леген: историята, която ще ви остави без думи и ще ви накара да оцените живота си! –",14-01-21 0:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,–,False,21,4.19047619,0,"['момичето', ',', 'което', 'живее', 'в', 'леген', ':', 'историята', ',', 'която', 'ще', 'ви', 'остави', 'без', 'думи', 'и', 'ще', 'ви', 'накара', 'да', 'оцените', 'живота', 'си', '!', '–']","['момичето', 'което', 'живее', 'в', 'леген', 'историята', 'която', 'ще', 'ви', 'остави', 'без', 'думи', 'и', 'ще', 'ви', 'накара', 'да', 'оцените', 'живота', 'си', '']",11,4,1,която ще ви остави без думи и ще ви накара да оцените живота си което живее в леген – момичето историята,1
българия пребори коронавируса!? в четвъртък ще паднат повечето мерки –,13-01-21 23:14,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,nowini336,1,–,False,10,6.1,0,"['българия', 'пребори', 'коронавируса', '!', '?', 'в', 'четвъртък', 'ще', 'паднат', 'повечето', 'мерки', '–']","['българия', 'пребори', 'коронавируса', 'в', 'четвъртък', 'ще', 'паднат', 'повечето', 'мерки', '']",3,2,1,в четвъртък ще паднат повечето мерки – българия пребори коронавируса !?,1
"първи думи на гала след новината, че ще става баба (снимки): –",13-01-21 21:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,–,False,12,4.25,0,"['първи', 'думи', 'на', 'гала', 'след', 'новината', ',', 'че', 'ще', 'става', 'баба', '(', 'снимки', ')', ':', '–']","['първи', 'думи', 'на', 'гала', 'след', 'новината', 'че', 'ще', 'става', 'баба', '', 'снимки', '', '']",5,2,0,първи думи на гала след новината че ще става баба снимки ): –,1
23-годишна жена не си мие зъбите вече 10 години. резултатът е изумителен! –,13-01-21 20:43,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,nowini336,1,–,False,13,4.846153846,0,"['23-годишна', 'жена', 'не', 'си', 'мие', 'зъбите', 'вече', '10', 'години', '.', 'резултатът', 'е', 'изумителен', '!', '–']","['23годишна', 'жена', 'не', 'си', 'мие', 'зъбите', 'вече', '10', 'години', 'резултатът', 'е', 'изумителен', '']",5,3,1,годишна жена не си мие зъбите вече 10 години резултатът е изумителен – 23,1
всички загубват ума и дума като видят какво направи това семейство с дома си! (снимки),13-01-21 18:30,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,(снимки),True,15,4.8,0,"['всички', 'загубват', 'ума', 'и', 'дума', 'като', 'видят', 'какво', 'направи', 'това', 'семейство', 'с', 'дома', 'си', '!', '(', 'снимки', ')']","['всички', 'загубват', 'ума', 'и', 'дума', 'като', 'видят', 'какво', 'направи', 'това', 'семейство', 'с', 'дома', 'си', '', 'снимки', '']",8,1,1,всички загубват ума и дума като видят какво направи това семейство с дома си снимки,1
"от последните минути: млад полицай загина в адска катастрофа, не успя да види детето си",13-01-21 18:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,си,True,15,4.866666667,1,"['от', 'последните', 'минути', ':', 'млад', 'полицай', 'загина', 'в', 'адска', 'катастрофа', ',', 'не', 'успя', 'да', 'види', 'детето', 'си']","['от', 'последните', 'минути', 'млад', 'полицай', 'загина', 'в', 'адска', 'катастрофа', 'не', 'успя', 'да', 'види', 'детето', 'си']",5,2,0,не успя да види детето си млад полицай загина в адска катастрофа от последните минути,1
"мъж закла цялото си семейство, за да прикрие тайния си живот –",13-01-21 17:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,–,False,12,4.25,0,"['мъж', 'закла', 'цялото', 'си', 'семейство', ',', 'за', 'да', 'прикрие', 'тайния', 'си', 'живот', '–']","['мъж', 'закла', 'цялото', 'си', 'семейство', 'за', 'да', 'прикрие', 'тайния', 'си', 'живот', '']",5,1,0,за да прикрие тайния си живот – мъж закла цялото си семейство,1
"турският специалист арзу акгюл, разкри какво трябва да пием, за да се предпазим от covid-19",13-01-21 16:30,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,covid-19,True,15,5.133333333,0,"['турският', 'специалист', 'арзу', 'акгюл', ',', 'разкри', 'какво', 'трябва', 'да', 'пием', ',', 'за', 'да', 'се', 'предпазим', 'от', 'covid-19']","['турският', 'специалист', 'арзу', 'акгюл', 'разкри', 'какво', 'трябва', 'да', 'пием', 'за', 'да', 'се', 'предпазим', 'от', 'covid19']",7,3,0,за да се предпазим от covid разкри какво трябва да пием турският специалист арзу акгюл 19,1
тъжни новини пронизаха сърцата на българските зрители. сбогуваме се големия краси радков,13-01-21 16:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,радков,True,12,6.416666667,0,"['тъжни', 'новини', 'пронизаха', 'сърцата', 'на', 'българските', 'зрители', '.', 'сбогуваме', 'се', 'големия', 'краси', 'радков']","['тъжни', 'новини', 'пронизаха', 'сърцата', 'на', 'българските', 'зрители', 'сбогуваме', 'се', 'големия', 'краси', 'радков']",2,1,0,тъжни новини пронизаха сърцата на българските зрители сбогуваме се големия краси радков,1
катастрофа и взрив на газова бутилка. има убити! жива изгоря 28 годишна –,13-01-21 14:43,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,nowini336,1,–,False,13,4.692307692,0,"['катастрофа', 'и', 'взрив', 'на', 'газова', 'бутилка', '.', 'има', 'убити', '!', 'жива', 'изгоря', '28', 'годишна', '–']","['катастрофа', 'и', 'взрив', 'на', 'газова', 'бутилка', 'има', 'убити', 'жива', 'изгоря', '28', 'годишна', '']",3,2,1,катастрофа и взрив на газова бутилка жива изгоря 28 годишна – има убити,1
"14:10, борисов излезе със заповед, вече има списъци",13-01-21 14:13,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,списъци,True,8,5.5,0,"['14:10', ',', 'борисов', 'излезе', 'със', 'заповед', ',', 'вече', 'има', 'списъци']","['1410', 'борисов', 'излезе', 'със', 'заповед', 'вече', 'има', 'списъци']",3,3,0,борисов излезе със заповед вече има списъци 14 10,1
"извънредно: баба и дядо хвърлиха внучето си в печката, изгориха го живо –",13-01-21 13:43,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,nowini336,1,–,False,13,4.692307692,1,"['извънредно', ':', 'баба', 'и', 'дядо', 'хвърлиха', 'внучето', 'си', 'в', 'печката', ',', 'изгориха', 'го', 'живо', '–']","['извънредно', 'баба', 'и', 'дядо', 'хвърлиха', 'внучето', 'си', 'в', 'печката', 'изгориха', 'го', 'живо', '']",4,2,0,баба и дядо хвърлиха внучето си в печката изгориха го живо – извънредно,1
руски учен хвърли бомбата със сензационна теория: ето как е създаден коронавирусът и как да го спрем! –,13-01-21 13:30,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,–,True,18,4.777777778,0,"['руски', 'учен', 'хвърли', 'бомбата', 'със', 'сензационна', 'теория', ':', 'ето', 'как', 'е', 'създаден', 'коронавирусът', 'и', 'как', 'да', 'го', 'спрем', '!', '–']","['руски', 'учен', 'хвърли', 'бомбата', 'със', 'сензационна', 'теория', 'ето', 'как', 'е', 'създаден', 'коронавирусът', 'и', 'как', 'да', 'го', 'спрем', '']",8,2,1,ето как е създаден коронавирусът и как да го спрем руски учен хвърли бомбата със сензационна теория –,1
"интервю с пилот от ввс: признавам си, наистина заразяваме с химикал. коронавирус няма",13-01-21 13:14,-0.31215343586609395,-0.2574349254241536,-0.46808960490695245,nowini336,1,няма,True,13,5.615384615,0,"['интервю', 'с', 'пилот', 'от', 'ввс', ':', 'признавам', 'си', ',', 'наистина', 'заразяваме', 'с', 'химикал', '.', 'коронавирус', 'няма']","['интервю', 'с', 'пилот', 'от', 'ввс', 'признавам', 'си', 'наистина', 'заразяваме', 'с', 'химикал', 'коронавирус', 'няма']",5,3,0,интервю с пилот от ввс наистина заразяваме с химикал признавам си коронавирус няма,1
"болен мъж: преди три месеца имах рак от главата до петите, а сега съм напълно здрав",13-01-21 7:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,здрав,True,16,4.25,0,"['болен', 'мъж', ':', 'преди', 'три', 'месеца', 'имах', 'рак', 'от', 'главата', 'до', 'петите', ',', 'а', 'сега', 'съм', 'напълно', 'здрав']","['болен', 'мъж', 'преди', 'три', 'месеца', 'имах', 'рак', 'от', 'главата', 'до', 'петите', 'а', 'сега', 'съм', 'напълно', 'здрав']",7,2,0,преди три месеца имах рак от главата до петите а сега съм напълно здрав болен мъж,1
"коцето отсече: от затвор се излиза, от гроб – не! ще застрелям",13-01-21 6:43,-0.31329184892380957,-0.2823270121363131,-0.46808960490695245,nowini336,1,застрелям,False,12,4.25,0,"['коцето', 'отсече', ':', 'от', 'затвор', 'се', 'излиза', ',', 'от', 'гроб', '–', 'не', '!', 'ще', 'застрелям']","['коцето', 'отсече', 'от', 'затвор', 'се', 'излиза', 'от', 'гроб', '', 'не', 'ще', 'застрелям']",5,3,1,от затвор се излиза от гроб – не ще застрелям коцето отсече,1
лечителят саркис инджиян спасява от рак в последен стадий,13-01-21 6:14,-0.3144302619815252,-0.2823270121363131,-0.46808960490695245,nowini336,1,стадий,True,9,5.444444444,0,"['лечителят', 'саркис', 'инджиян', 'спасява', 'от', 'рак', 'в', 'последен', 'стадий']","['лечителят', 'саркис', 'инджиян', 'спасява', 'от', 'рак', 'в', 'последен', 'стадий']",2,0,0,лечителят саркис инджиян спасява от рак в последен стадий,1
ето ви закона за задължително ваксиниране!,13-01-21 4:43,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,nowini336,1,ваксиниране!,True,6,6.166666667,0,"['ето', 'ви', 'закона', 'за', 'задължително', 'ваксиниране', '!']","['ето', 'ви', 'закона', 'за', 'задължително', 'ваксиниране']",3,1,1,ето ви закона за задължително ваксиниране,1
"цяла българия притихна от това, което написа д-р томова от к-19 отделение в плевен",13-01-21 2:43,-0.31329184892380957,-0.2823270121363131,-0.46808960490695245,nowini336,1,плевен,True,14,4.928571429,0,"['цяла', 'българия', 'притихна', 'от', 'това', ',', 'което', 'написа', 'д-р', 'томова', 'от', 'к-19', 'отделение', 'в', 'плевен']","['цяла', 'българия', 'притихна', 'от', 'това', 'което', 'написа', 'др', 'томова', 'от', 'к19', 'отделение', 'в', 'плевен']",5,3,0,цяла българия притихна от това р томова от к 19 отделение в плевен което написа д,1
пребиха ричард величков пред дома му!,13-01-21 0:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,0,му!,True,6,5.333333333,0,"['пребиха', 'ричард', 'величков', 'пред', 'дома', 'му', '!']","['пребиха', 'ричард', 'величков', 'пред', 'дома', 'му']",2,1,1,пребиха ричард величков пред дома му,1
жената на борис дали избяга с децата му – огорчената съпруга заживя на квартира,12/1/2021 23:14,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,nowini336,1,квартира,True,14,4.714285714,0,"['жената', 'на', 'борис', 'дали', 'избяга', 'с', 'децата', 'му', '–', 'огорчената', 'съпруга', 'заживя', 'на', 'квартира']","['жената', 'на', 'борис', 'дали', 'избяга', 'с', 'децата', 'му', '', 'огорчената', 'съпруга', 'заживя', 'на', 'квартира']",5,0,0,жената на борис дали избяга с децата му – огорчената съпруга заживя на квартира,1
"жената скенер боряна тотева: магиите обикновено са скрити зад тежките, огромни мебели!",12/1/2021 21:43,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,мебели!,True,12,6.25,0,"['жената', 'скенер', 'боряна', 'тотева', ':', 'магиите', 'обикновено', 'са', 'скрити', 'зад', 'тежките', ',', 'огромни', 'мебели', '!']","['жената', 'скенер', 'боряна', 'тотева', 'магиите', 'обикновено', 'са', 'скрити', 'зад', 'тежките', 'огромни', 'мебели']",2,3,1,магиите обикновено са скрити зад тежките жената скенер боряна тотева огромни мебели,1
природни бедствия! земетресение с магнитут 7 в софия,12/1/2021 20:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,софия,True,8,5.625,0,"['природни', 'бедствия', '!', 'земетресение', 'с', 'магнитут', '7', 'в', 'софия']","['природни', 'бедствия', 'земетресение', 'с', 'магнитут', '7', 'в', 'софия']",2,1,1,земетресение с магнитут 7 в софия природни бедствия,1
от последните минути: майка хвърли двете си деца от 9-ия етаж и се самоуби –,12/1/2021 18:43,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,nowini336,1,–,True,15,4.133333333,0,"['от', 'последните', 'минути', ':', 'майка', 'хвърли', 'двете', 'си', 'деца', 'от', '9-ия', 'етаж', 'и', 'се', 'самоуби', '–']","['от', 'последните', 'минути', 'майка', 'хвърли', 'двете', 'си', 'деца', 'от', '9ия', 'етаж', 'и', 'се', 'самоуби', '']",6,2,0,майка хвърли двете си деца от 9 ия етаж и се самоуби – от последните минути,1
д-р илиева си инжектира втора доза от ваксината и усети остри странични ефекти: –,12/1/2021 18:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,–,True,14,4.857142857,0,"['д-р', 'илиева', 'си', 'инжектира', 'втора', 'доза', 'от', 'ваксината', 'и', 'усети', 'остри', 'странични', 'ефекти', ':', '–']","['др', 'илиева', 'си', 'инжектира', 'втора', 'доза', 'от', 'ваксината', 'и', 'усети', 'остри', 'странични', 'ефекти', '']",3,2,0,р илиева си инжектира втора доза от ваксината и усети остри странични ефекти – д,1
"идва студ, който светът не помни",12/1/2021 17:14,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,nowini336,1,помни,True,6,4.5,0,"['идва', 'студ', ',', 'който', 'светът', 'не', 'помни']","['идва', 'студ', 'който', 'светът', 'не', 'помни']",2,1,0,който светът не помни идва студ,1
"ето го радостин – упоил, пребил и насилил двете момичета в казанлъшко",12/1/2021 16:14,-0.31556867503924085,-0.2823270121363131,-0.44835799650379354,nowini336,0,казанлъшко,True,12,4.833333333,0,"['ето', 'го', 'радостин', '–', 'упоил', ',', 'пребил', 'и', 'насилил', 'двете', 'момичета', 'в', 'казанлъшко']","['ето', 'го', 'радостин', '', 'упоил', 'пребил', 'и', 'насилил', 'двете', 'момичета', 'в', 'казанлъшко']",5,1,0,пребил и насилил двете момичета в казанлъшко ето го радостин – упоил,1
"борисов се включи минути след 14:00, алармира за стихия в петък",12/1/2021 15:14,-0.3144302619815252,-0.2823270121363131,-0.46808960490695245,nowini336,1,петък,True,11,4.818181818,0,"['борисов', 'се', 'включи', 'минути', 'след', '14:00', ',', 'алармира', 'за', 'стихия', 'в', 'петък']","['борисов', 'се', 'включи', 'минути', 'след', '1400', 'алармира', 'за', 'стихия', 'в', 'петък']",4,2,0,борисов се включи минути след 14 алармира за стихия в петък 00,1
безплатни телевизия и интернет в цяла българия по време на епидемията –,12/1/2021 14:43,-0.30532295751980015,-0.2574349254241536,-0.36943156289115775,nowini336,1,–,True,12,5.0,0,"['безплатни', 'телевизия', 'и', 'интернет', 'в', 'цяла', 'българия', 'по', 'време', 'на', 'епидемията', '–']","['безплатни', 'телевизия', 'и', 'интернет', 'в', 'цяла', 'българия', 'по', 'време', 'на', 'епидемията', '']",5,0,0,безплатни телевизия и интернет в цяла българия по време на епидемията –,1
с този изпробван тест само за 10 секунди ще узнаете поразени ли сте от covid-19,12/1/2021 14:14,-0.31670708809695647,-0.2823270121363131,-0.4615124021058995,nowini336,1,covid-19,True,15,4.333333333,0,"['с', 'този', 'изпробван', 'тест', 'само', 'за', '10', 'секунди', 'ще', 'узнаете', 'поразени', 'ли', 'сте', 'от', 'covid-19']","['с', 'този', 'изпробван', 'тест', 'само', 'за', '10', 'секунди', 'ще', 'узнаете', 'поразени', 'ли', 'сте', 'от', 'covid19']",8,1,0,с този изпробван тест само за 10 секунди ще узнаете поразени ли сте от covid 19,1
35-годишен счупи дрегера,14-01-21 14:59,-0.30987660975066267,-0.2657322876615401,-0.46808960490695245,Novini.bg,0,дрегера,True,3,7.333333333,0,"['35-годишен', 'счупи', 'дрегера']","['35годишен', 'счупи', 'дрегера']",0,1,0,годишен счупи дрегера 35,1
между 5 и 6 изтребителя миг-29 са в техническа изправност,14-01-21 14:26,-0.23018769571056832,-0.1578665785755155,0.31459752841835203,Novini.bg,0,изправност,True,10,4.8,0,"['между', '5', 'и', '6', 'изтребителя', 'миг-29', 'са', 'в', 'техническа', 'изправност']","['между', '5', 'и', '6', 'изтребителя', 'миг29', 'са', 'в', 'техническа', 'изправност']",4,1,0,между 5 и 6 изтребителя миг 29 са в техническа изправност,1
тази нощ са нападнали възрастни мъж и жена (видео),14-01-21 14:15,-0.28938517471178127,-0.21594811423722104,-0.30365953488062797,Novini.bg,0,(видео),True,9,4.666666667,0,"['тази', 'нощ', 'са', 'нападнали', 'възрастни', 'мъж', 'и', 'жена', '(', 'видео', ')']","['тази', 'нощ', 'са', 'нападнали', 'възрастни', 'мъж', 'и', 'жена', '', 'видео', '']",3,0,0,тази нощ са нападнали възрастни мъж и жена видео,1
"мъж закла цялото си семейство, за да прикрие тайния си живот",13-01-21 15:22,-0.3144302619815252,-0.2657322876615401,-0.46808960490695245,posledninovini,1,живот,True,11,4.545454545,0,"['мъж', 'закла', 'цялото', 'си', 'семейство', ',', 'за', 'да', 'прикрие', 'тайния', 'си', 'живот']","['мъж', 'закла', 'цялото', 'си', 'семейство', 'за', 'да', 'прикрие', 'тайния', 'си', 'живот']",5,1,0,за да прикрие тайния си живот мъж закла цялото си семейство,1
д-р илиева си инжектира втора доза от ваксината и усети остри странични ефекти:,12/1/2021 16:19,-0.30987660975066267,-0.2823270121363131,-0.4286263881006346,posledninovini,1,ефекти:,True,13,5.153846154,0,"['д-р', 'илиева', 'си', 'инжектира', 'втора', 'доза', 'от', 'ваксината', 'и', 'усети', 'остри', 'странични', 'ефекти', ':']","['др', 'илиева', 'си', 'инжектира', 'втора', 'доза', 'от', 'ваксината', 'и', 'усети', 'остри', 'странични', 'ефекти']",3,2,0,р илиева си инжектира втора доза от ваксината и усети остри странични ефекти д,1
лекар и пациент починаха след ваксинация,8/1/2021 21:06,-0.31556867503924085,-0.2657322876615401,-0.4615124021058995,posledninovini,1,ваксинация,True,6,5.833333333,0,"['лекар', 'и', 'пациент', 'починаха', 'след', 'ваксинация']","['лекар', 'и', 'пациент', 'починаха', 'след', 'ваксинация']",2,0,0,лекар и пациент починаха след ваксинация,1
учените хвърлиха голяма бомба: covid има положителен ефект при онкоболните!,7/1/2021 20:54,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,posledninovini,1,онкоболните!,True,10,6.6,1,"['учените', 'хвърлиха', 'голяма', 'бомба', ':', 'covid', 'има', 'положителен', 'ефект', 'при', 'онкоболните', '!']","['учените', 'хвърлиха', 'голяма', 'бомба', 'covid', 'има', 'положителен', 'ефект', 'при', 'онкоболните']",2,2,1,covid има положителен ефект при онкоболните учените хвърлиха голяма бомба,1
нови разкрития: ето от какво са издъхнали осемте младежи във фаталната къща за гости,2/1/2021 19:12,-0.31329184892380957,-0.2823270121363131,-0.46808960490695245,posledninovini,1,гости,True,14,5.071428571,0,"['нови', 'разкрития', ':', 'ето', 'от', 'какво', 'са', 'издъхнали', 'осемте', 'младежи', 'във', 'фаталната', 'къща', 'за', 'гости']","['нови', 'разкрития', 'ето', 'от', 'какво', 'са', 'издъхнали', 'осемте', 'младежи', 'във', 'фаталната', 'къща', 'за', 'гости']",7,1,0,ето от какво са издъхнали осемте младежи във фаталната къща за гости нови разкрития,1
американският астронавт нийл армстронг качил и българското знаме на луната-снимка,1/1/2021 21:00,-0.3144302619815252,-0.2657322876615401,-0.4615124021058995,posledninovini,1,луната-снимка,True,10,7.2,0,"['американският', 'астронавт', 'нийл', 'армстронг', 'качил', 'и', 'българското', 'знаме', 'на', 'луната-снимка']","['американският', 'астронавт', 'нийл', 'армстронг', 'качил', 'и', 'българското', 'знаме', 'на', 'лунатаснимка']",2,1,0,американският астронавт нийл армстронг качил и българското знаме на луната снимка,1
доц.мангъров пак се отрече: тази ваксина е нова и има много рискове! сами си поемате риска!,30-12-20 21:12,-0.3041845444620845,-0.2823270121363131,-0.46808960490695245,posledninovini,1,риска!,True,16,4.75,0,"['доц.мангъров', 'пак', 'се', 'отрече', ':', 'тази', 'ваксина', 'е', 'нова', 'и', 'има', 'много', 'рискове', '!', 'сами', 'си', 'поемате', 'риска', '!']","['доцмангъров', 'пак', 'се', 'отрече', 'тази', 'ваксина', 'е', 'нова', 'и', 'има', 'много', 'рискове', 'сами', 'си', 'поемате', 'риска']",9,4,2,тази ваксина е нова и има много рискове сами си поемате риска мангъров пак се отрече доц,1
"влак удари мъж, но той оцеля",29-12-20 17:58,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,posledninovini,0,оцеля,True,6,3.833333333,0,"['влак', 'удари', 'мъж', ',', 'но', 'той', 'оцеля']","['влак', 'удари', 'мъж', 'но', 'той', 'оцеля']",2,1,0,но той оцеля влак удари мъж,1
мангъров отказа да се ваксинира - ето причината:,28-12-20 18:10,-0.31556867503924085,-0.2823270121363131,-0.46808960490695245,posledninovini,0,причината:,False,8,5.125,0,"['мангъров', 'отказа', 'да', 'се', 'ваксинира', '-', 'ето', 'причината', ':']","['мангъров', 'отказа', 'да', 'се', 'ваксинира', 'ето', 'причината']",3,2,0,мангъров отказа да се ваксинира ето причината,1
трагедия разтърси навръх бъдни вечер карлово,27-12-20 19:41,-0.3144302619815252,-0.2657322876615401,-0.4615124021058995,posledninovini,1,карлово,True,6,6.5,1,"['трагедия', 'разтърси', 'навръх', 'бъдни', 'вечер', 'карлово']","['трагедия', 'разтърси', 'навръх', 'бъдни', 'вечер', 'карлово']",0,0,0,трагедия разтърси навръх бъдни вечер карлово,1
изпратиха димо от p.i.f. -снимки,23-12-20 19:58,-0.31670708809695647,-0.2823270121363131,-0.46808960490695245,posledninovini,0,#NAME?,True,5,5.6,0,"['изпратиха', 'димо', 'от', 'p.i.f', '.', '-снимки']","['изпратиха', 'димо', 'от', 'pif', 'снимки']",1,4,0,изпратиха димо от p снимки f,1
