post_text,time,likes,shares,comments,src,fake_status,last_word,finalized,words,avg_word_length,urgent_words,post_text_tokens,final_words,stop_words,marks,exclamation_marks,Topic,Predicted_Label
нови 19 души са загубили битката с болестта.,10/1/2021 11:05,52,2,28,svobodnaev,0,болестта.,True,8,4.625,0,"['нови', '19', 'души', 'са', 'загубили', 'битката', 'с', 'болестта', '.']","['нови', '19', 'души', 'са', 'загубили', 'битката', 'с', 'болестта']",3,1,0,1,0
"преди година британският принц хари и съпругата му меган маркъл обявиха, че се оттеглят от задълженията си в кралското семейство. припомняме ви как се стигна до това решение.",9/1/2021 21:09,164,12,51,svobodnaev,0,решение.,True,28,5.25,0,"['преди', 'година', 'британският', 'принц', 'хари', 'и', 'съпругата', 'му', 'меган', 'маркъл', 'обявиха', ',', 'че', 'се', 'оттеглят', 'от', 'задълженията', 'си', 'в', 'кралското', 'семейство', '.', 'припомняме', 'ви', 'как', 'се', 'стигна', 'до', 'това', 'решение', '.']","['преди', 'година', 'британският', 'принц', 'хари', 'и', 'съпругата', 'му', 'меган', 'маркъл', 'обявиха', 'че', 'се', 'оттеглят', 'от', 'задълженията', 'си', 'в', 'кралското', 'семейство', 'припомняме', 'ви', 'как', 'се', 'стигна', 'до', 'това', 'решение']",14,3,0,1,0
бивши президенти на радио свободна европа / радио свобода се обърнаха с открито писмо към джо байдън. те го призовават да действа бързо.,9/1/2021 18:10,102,5,12,svobodnaev,1,бързо.,True,23,4.956521739,0,"['бивши', 'президенти', 'на', 'радио', 'свободна', 'европа', '/', 'радио', 'свобода', 'се', 'обърнаха', 'с', 'открито', 'писмо', 'към', 'джо', 'байдън', '.', 'те', 'го', 'призовават', 'да', 'действа', 'бързо', '.']","['бивши', 'президенти', 'на', 'радио', 'свободна', 'европа', '', 'радио', 'свобода', 'се', 'обърнаха', 'с', 'открито', 'писмо', 'към', 'джо', 'байдън', 'те', 'го', 'призовават', 'да', 'действа', 'бързо']",7,2,0,0,0
"ваксината на американската компания модерна е втората, която е одобрена на територията на ес.",9/1/2021 16:43,71,0,24,svobodnaev,0,ес.,True,14,5.714285714,0,"['ваксината', 'на', 'американската', 'компания', 'модерна', 'е', 'втората', ',', 'която', 'е', 'одобрена', 'на', 'територията', 'на', 'ес', '.']","['ваксината', 'на', 'американската', 'компания', 'модерна', 'е', 'втората', 'която', 'е', 'одобрена', 'на', 'територията', 'на', 'ес']",6,2,0,1,0
"профилът на тръмп вече не съществува. чрез него президентът обявяваше политики, воюваше с опоненти, разпространяваше информация и дезинформация, дори уволняваше хора.",9/1/2021 16:10,1049,69,232,svobodnaev,0,хора.,True,21,6.952380952,0,"['профилът', 'на', 'тръмп', 'вече', 'не', 'съществува', '.', 'чрез', 'него', 'президентът', 'обявяваше', 'политики', ',', 'воюваше', 'с', 'опоненти', ',', 'разпространяваше', 'информация', 'и', 'дезинформация', ',', 'дори', 'уволняваше', 'хора', '.']","['профилът', 'на', 'тръмп', 'вече', 'не', 'съществува', 'чрез', 'него', 'президентът', 'обявяваше', 'политики', 'воюваше', 'с', 'опоненти', 'разпространяваше', 'информация', 'и', 'дезинформация', 'дори', 'уволняваше', 'хора']",8,5,0,1,0
"на борда на самолета е имало 56 души, в това число седем деца и шестима членове на екипажа. не е имало чуждестранни граждани.",9/1/2021 14:50,35,3,8,svobodnaev,0,граждани.,True,23,4.47826087,0,"['на', 'борда', 'на', 'самолета', 'е', 'имало', '56', 'души', ',', 'в', 'това', 'число', 'седем', 'деца', 'и', 'шестима', 'членове', 'на', 'екипажа', '.', 'не', 'е', 'имало', 'чуждестранни', 'граждани', '.']","['на', 'борда', 'на', 'самолета', 'е', 'имало', '56', 'души', 'в', 'това', 'число', 'седем', 'деца', 'и', 'шестима', 'членове', 'на', 'екипажа', 'не', 'е', 'имало', 'чуждестранни', 'граждани']",9,3,0,1,0
"извънпарламентарните партии бяха поотделно на консултации при президента радев. те казаха едно и също нещо: че не вярват в честността на избори, провеждани от герб. от ""демократична българия"" предложиха няколко конкретни мерки, които да намалят риска от манипулации.",9/1/2021 14:00,2648,130,255,svobodnaev,0,манипулации.,True,38,6.026315789,0,"['извънпарламентарните', 'партии', 'бяха', 'поотделно', 'на', 'консултации', 'при', 'президента', 'радев', '.', 'те', 'казаха', 'едно', 'и', 'също', 'нещо', ':', 'че', 'не', 'вярват', 'в', 'честността', 'на', 'избори', ',', 'провеждани', 'от', 'герб', '.', 'от', '``', 'демократична', 'българия', ""''"", 'предложиха', 'няколко', 'конкретни', 'мерки', ',', 'които', 'да', 'намалят', 'риска', 'от', 'манипулации', '.']","['извънпарламентарните', 'партии', 'бяха', 'поотделно', 'на', 'консултации', 'при', 'президента', 'радев', 'те', 'казаха', 'едно', 'и', 'също', 'нещо', 'че', 'не', 'вярват', 'в', 'честността', 'на', 'избори', 'провеждани', 'от', 'герб', 'от', '', 'демократична', 'българия', '', 'предложиха', 'няколко', 'конкретни', 'мерки', 'които', 'да', 'намалят', 'риска', 'от', 'манипулации']",18,8,0,0,0
над 2200 души са били ваксинирани през последното денонощие.,9/1/2021 11:54,37,0,5,svobodnaev,0,денонощие.,True,9,5.777777778,0,"['над', '2200', 'души', 'са', 'били', 'ваксинирани', 'през', 'последното', 'денонощие', '.']","['над', '2200', 'души', 'са', 'били', 'ваксинирани', 'през', 'последното', 'денонощие']",4,1,0,1,0
"70% от хората, гласували за тръмп през ноември, са против нахлуването в конгреса от 6 януари и против действията на президента, предприети преди това.",9/1/2021 10:53,423,48,169,svobodnaev,0,това.,True,24,5.291666667,0,"['70', '%', 'от', 'хората', ',', 'гласували', 'за', 'тръмп', 'през', 'ноември', ',', 'са', 'против', 'нахлуването', 'в', 'конгреса', 'от', '6', 'януари', 'и', 'против', 'действията', 'на', 'президента', ',', 'предприети', 'преди', 'това', '.']","['70', '', 'от', 'хората', 'гласували', 'за', 'тръмп', 'през', 'ноември', 'са', 'против', 'нахлуването', 'в', 'конгреса', 'от', '6', 'януари', 'и', 'против', 'действията', 'на', 'президента', 'предприети', 'преди', 'това']",10,4,0,1,0
"бойко борисов, владимир путин, реджеп ердоган и александър вучич на официалното откриване на ""турски поток"" в истанбул. 8 януари 2020 г. държавните и правителствените ръководители на държавите бяха посрещнати на фона на драматична музика и осветление в залата на тържествената церемония.
👉https://www.svobodnaevropa.bg/a/30915604.html

снимка: afp",8/1/2021 22:31,67,0,18,svobodnaev,0,afp,True,44,6.886363636,0,"['бойко', 'борисов', ',', 'владимир', 'путин', ',', 'реджеп', 'ердоган', 'и', 'александър', 'вучич', 'на', 'официалното', 'откриване', 'на', '``', 'турски', 'поток', ""''"", 'в', 'истанбул', '.', '8', 'януари', '2020', 'г.', 'държавните', 'и', 'правителствените', 'ръководители', 'на', 'държавите', 'бяха', 'посрещнати', 'на', 'фона', 'на', 'драматична', 'музика', 'и', 'осветление', 'в', 'залата', 'на', 'тържествената', 'церемония', '.', '👉https', ':', '//www.svobodnaevropa.bg/a/30915604.html', 'снимка', ':', 'afp']","['бойко', 'борисов', 'владимир', 'путин', 'реджеп', 'ердоган', 'и', 'александър', 'вучич', 'на', 'официалното', 'откриване', 'на', '', 'турски', 'поток', '', 'в', 'истанбул', '8', 'януари', '2020', 'г', 'държавните', 'и', 'правителствените', 'ръководители', 'на', 'държавите', 'бяха', 'посрещнати', 'на', 'фона', 'на', 'драматична', 'музика', 'и', 'осветление', 'в', 'залата', 'на', 'тържествената', 'церемония', 'https', 'wwwsvobodnaevropabga30915604html', 'снимка', 'afp']",13,12,0,0,0
най-влиятелният аниматор през последните 25 години. с това признание започна годината за теодор ушев. припомняме ви неговото участие в рубриката на свободна европа човек на деня.,8/1/2021 21:31,485,29,8,svobodnaev,0,деня.,True,26,5.884615385,0,"['най-влиятелният', 'аниматор', 'през', 'последните', '25', 'години', '.', 'с', 'това', 'признание', 'започна', 'годината', 'за', 'теодор', 'ушев', '.', 'припомняме', 'ви', 'неговото', 'участие', 'в', 'рубриката', 'на', 'свободна', 'европа', 'човек', 'на', 'деня', '.']","['найвлиятелният', 'аниматор', 'през', 'последните', '25', 'години', 'с', 'това', 'признание', 'започна', 'годината', 'за', 'теодор', 'ушев', 'припомняме', 'ви', 'неговото', 'участие', 'в', 'рубриката', 'на', 'свободна', 'европа', 'човек', 'на', 'деня']",9,4,0,1,0
"точно преди година владимир путин, реджеп ердоган, бойко борисов и александър вучич откриха ""турски поток"" в истанбул. тогава борисов и вучич се договориха да наричат проекта ""балкански поток"". какви са фактите и какъв е интересът на българия година по-късно.",8/1/2021 20:31,34,6,3,svobodnaev,0,по-късно.,True,39,5.666666667,0,"['точно', 'преди', 'година', 'владимир', 'путин', ',', 'реджеп', 'ердоган', ',', 'бойко', 'борисов', 'и', 'александър', 'вучич', 'откриха', '``', 'турски', 'поток', ""''"", 'в', 'истанбул', '.', 'тогава', 'борисов', 'и', 'вучич', 'се', 'договориха', 'да', 'наричат', 'проекта', '``', 'балкански', 'поток', ""''"", '.', 'какви', 'са', 'фактите', 'и', 'какъв', 'е', 'интересът', 'на', 'българия', 'година', 'по-късно', '.']","['точно', 'преди', 'година', 'владимир', 'путин', 'реджеп', 'ердоган', 'бойко', 'борисов', 'и', 'александър', 'вучич', 'откриха', '', 'турски', 'поток', '', 'в', 'истанбул', 'тогава', 'борисов', 'и', 'вучич', 'се', 'договориха', 'да', 'наричат', 'проекта', '', 'балкански', 'поток', '', 'какви', 'са', 'фактите', 'и', 'какъв', 'е', 'интересът', 'на', 'българия', 'година', 'покъсно']",15,10,0,0,0
"тя е създала специално мобилно приложение, с помощта на което хора със специални потребности по-лесно да намират приятели. джулиана фетерман е човек на деня на свободна европа.",8/1/2021 19:51,98,5,1,svobodnaev,0,европа.,True,27,5.555555556,0,"['тя', 'е', 'създала', 'специално', 'мобилно', 'приложение', ',', 'с', 'помощта', 'на', 'което', 'хора', 'със', 'специални', 'потребности', 'по-лесно', 'да', 'намират', 'приятели', '.', 'джулиана', 'фетерман', 'е', 'човек', 'на', 'деня', 'на', 'свободна', 'европа', '.']","['тя', 'е', 'създала', 'специално', 'мобилно', 'приложение', 'с', 'помощта', 'на', 'което', 'хора', 'със', 'специални', 'потребности', 'полесно', 'да', 'намират', 'приятели', 'джулиана', 'фетерман', 'е', 'човек', 'на', 'деня', 'на', 'свободна', 'европа']",10,4,0,1,0
"херо мустафа публикува свое изявление за събитията на 6 януари в сащ. мустафа изразява увереност, че „съединените щати ще излязат по-силни и по-мъдри след този тест за нашата демокрация“",8/1/2021 19:09,166,7,118,svobodnaev,0,демокрация“,True,29,5.448275862,0,"['херо', 'мустафа', 'публикува', 'свое', 'изявление', 'за', 'събитията', 'на', '6', 'януари', 'в', 'сащ', '.', 'мустафа', 'изразява', 'увереност', ',', 'че', '„', 'съединените', 'щати', 'ще', 'излязат', 'по-силни', 'и', 'по-мъдри', 'след', 'този', 'тест', 'за', 'нашата', 'демокрация', '“']","['херо', 'мустафа', 'публикува', 'свое', 'изявление', 'за', 'събитията', 'на', '6', 'януари', 'в', 'сащ', 'мустафа', 'изразява', 'увереност', 'че', '', 'съединените', 'щати', 'ще', 'излязат', 'посилни', 'и', 'помъдри', 'след', 'този', 'тест', 'за', 'нашата', 'демокрация', '']",9,4,0,0,0
"подкастингът печели по-голямата част от парите си чрез реклами, които миналата година са генерирали приходи от едва 1.3 млрд. долара по данни на компанията за данни omdia - това е равно на около 6% от продажбите на звукозаписната музикална индустрия или постъпленията на холивуд от блокбъстъри.

защо се вдига толкова голям шум за такъв малък бизнес?",14-01-21 19:45,0,0,0,capital.bg,0,бизнес?,True,56,5.25,0,"['подкастингът', 'печели', 'по-голямата', 'част', 'от', 'парите', 'си', 'чрез', 'реклами', ',', 'които', 'миналата', 'година', 'са', 'генерирали', 'приходи', 'от', 'едва', '1.3', 'млрд', '.', 'долара', 'по', 'данни', 'на', 'компанията', 'за', 'данни', 'omdia', '-', 'това', 'е', 'равно', 'на', 'около', '6', '%', 'от', 'продажбите', 'на', 'звукозаписната', 'музикална', 'индустрия', 'или', 'постъпленията', 'на', 'холивуд', 'от', 'блокбъстъри', '.', 'защо', 'се', 'вдига', 'толкова', 'голям', 'шум', 'за', 'такъв', 'малък', 'бизнес', '?']","['подкастингът', 'печели', 'поголямата', 'част', 'от', 'парите', 'си', 'чрез', 'реклами', 'които', 'миналата', 'година', 'са', 'генерирали', 'приходи', 'от', 'едва', '13', 'млрд', 'долара', 'по', 'данни', 'на', 'компанията', 'за', 'данни', 'omdia', 'това', 'е', 'равно', 'на', 'около', '6', '', 'от', 'продажбите', 'на', 'звукозаписната', 'музикална', 'индустрия', 'или', 'постъпленията', 'на', 'холивуд', 'от', 'блокбъстъри', 'защо', 'се', 'вдига', 'толкова', 'голям', 'шум', 'за', 'такъв', 'малък', 'бизнес']",25,7,0,1,0
"докато борсовата цената на електроенергията в повечето европейски страни на 14 януари доближава 100 евро/мвт, в хърватия тя има отрицателна стойност - минус 32 евро/мвтч. това означава, че всеки, който е успял да купи ток днес, ще получи пари за това. за сравнение - в българия търговците трябва да плащат по 67.3 евро/мвт.",14-01-21 19:00,2,0,0,capital.bg,0,евро/мвт.,True,53,5.113207547,0,"['докато', 'борсовата', 'цената', 'на', 'електроенергията', 'в', 'повечето', 'европейски', 'страни', 'на', '14', 'януари', 'доближава', '100', 'евро/мвт', ',', 'в', 'хърватия', 'тя', 'има', 'отрицателна', 'стойност', '-', 'минус', '32', 'евро/мвтч', '.', 'това', 'означава', ',', 'че', 'всеки', ',', 'който', 'е', 'успял', 'да', 'купи', 'ток', 'днес', ',', 'ще', 'получи', 'пари', 'за', 'това', '.', 'за', 'сравнение', '-', 'в', 'българия', 'търговците', 'трябва', 'да', 'плащат', 'по', '67.3', 'евро/мвт', '.']","['докато', 'борсовата', 'цената', 'на', 'електроенергията', 'в', 'повечето', 'европейски', 'страни', 'на', '14', 'януари', 'доближава', '100', 'евромвт', 'в', 'хърватия', 'тя', 'има', 'отрицателна', 'стойност', 'минус', '32', 'евромвтч', 'това', 'означава', 'че', 'всеки', 'който', 'е', 'успял', 'да', 'купи', 'ток', 'днес', 'ще', 'получи', 'пари', 'за', 'това', 'за', 'сравнение', 'в', 'българия', 'търговците', 'трябва', 'да', 'плащат', 'по', '673', 'евромвт']",23,10,0,0,0
"след повече от пет години неуспешни опити на прокуратурата да изготви читаво обвинение срещу бившия шеф на бившия фонд за лечение на деца павел александров все по-очевидно става, че той не е извършил престъпление, а разследването срещу него е плод на координиран тормоз.

в четвъртък обаче антикорупционната комисия кпконпи обяви, че срещу александров е внесен иск в окръжен съд - ловеч, за конфискация на незаконно придобито имущество на стойност 147 090.27 лв., както и един недвижим имот...",14-01-21 18:15,4,0,0,capital.bg,0,имот...,True,77,5.402597403,0,"['след', 'повече', 'от', 'пет', 'години', 'неуспешни', 'опити', 'на', 'прокуратурата', 'да', 'изготви', 'читаво', 'обвинение', 'срещу', 'бившия', 'шеф', 'на', 'бившия', 'фонд', 'за', 'лечение', 'на', 'деца', 'павел', 'александров', 'все', 'по-очевидно', 'става', ',', 'че', 'той', 'не', 'е', 'извършил', 'престъпление', ',', 'а', 'разследването', 'срещу', 'него', 'е', 'плод', 'на', 'координиран', 'тормоз', '.', 'в', 'четвъртък', 'обаче', 'антикорупционната', 'комисия', 'кпконпи', 'обяви', ',', 'че', 'срещу', 'александров', 'е', 'внесен', 'иск', 'в', 'окръжен', 'съд', '-', 'ловеч', ',', 'за', 'конфискация', 'на', 'незаконно', 'придобито', 'имущество', 'на', 'стойност', '147', '090.27', 'лв.', ',', 'както', 'и', 'един', 'недвижим', 'имот', '...']","['след', 'повече', 'от', 'пет', 'години', 'неуспешни', 'опити', 'на', 'прокуратурата', 'да', 'изготви', 'читаво', 'обвинение', 'срещу', 'бившия', 'шеф', 'на', 'бившия', 'фонд', 'за', 'лечение', 'на', 'деца', 'павел', 'александров', 'все', 'поочевидно', 'става', 'че', 'той', 'не', 'е', 'извършил', 'престъпление', 'а', 'разследването', 'срещу', 'него', 'е', 'плод', 'на', 'координиран', 'тормоз', 'в', 'четвъртък', 'обаче', 'антикорупционната', 'комисия', 'кпконпи', 'обяви', 'че', 'срещу', 'александров', 'е', 'внесен', 'иск', 'в', 'окръжен', 'съд', 'ловеч', 'за', 'конфискация', 'на', 'незаконно', 'придобито', 'имущество', 'на', 'стойност', '147', '09027', 'лв', 'както', 'и', 'един', 'недвижим', 'имот', '']",32,14,0,1,0
"ваксинациите срещу covid-19 в българия тази година ще се случват бавно, несигурно и ще бъдат съсредоточени основно във втората половина на годината. страната ни едва ли ще успее да постигне масов имунитет през 2021 г., като дотук управляващите са договорили от реално съществуващите ваксини дози, достатъчни за малко над 60% от населението...",14-01-21 17:30,5,0,7,capital.bg,0,населението...,True,52,5.596153846,0,"['ваксинациите', 'срещу', 'covid-19', 'в', 'българия', 'тази', 'година', 'ще', 'се', 'случват', 'бавно', ',', 'несигурно', 'и', 'ще', 'бъдат', 'съсредоточени', 'основно', 'във', 'втората', 'половина', 'на', 'годината', '.', 'страната', 'ни', 'едва', 'ли', 'ще', 'успее', 'да', 'постигне', 'масов', 'имунитет', 'през', '2021', 'г.', ',', 'като', 'дотук', 'управляващите', 'са', 'договорили', 'от', 'реално', 'съществуващите', 'ваксини', 'дози', ',', 'достатъчни', 'за', 'малко', 'над', '60', '%', 'от', 'населението', '...']","['ваксинациите', 'срещу', 'covid19', 'в', 'българия', 'тази', 'година', 'ще', 'се', 'случват', 'бавно', 'несигурно', 'и', 'ще', 'бъдат', 'съсредоточени', 'основно', 'във', 'втората', 'половина', 'на', 'годината', 'страната', 'ни', 'едва', 'ли', 'ще', 'успее', 'да', 'постигне', 'масов', 'имунитет', 'през', '2021', 'г', 'като', 'дотук', 'управляващите', 'са', 'договорили', 'от', 'реално', 'съществуващите', 'ваксини', 'дози', 'достатъчни', 'за', 'малко', 'над', '60', '', 'от', 'населението', '']",25,10,0,1,0
"покупко-продажбите на недвижими имоти през пандемичната 2020 г. са с 8.2% по-малко, отколкото през предходната година. по данни на агенцията по вписванията (ав) пред нея са изповядани 185 445 сделки при 201 963 през предишните дванадесет месеца...",14-01-21 16:45,3,2,0,capital.bg,0,месеца...,True,37,5.702702703,0,"['покупко-продажбите', 'на', 'недвижими', 'имоти', 'през', 'пандемичната', '2020', 'г.', 'са', 'с', '8.2', '%', 'по-малко', ',', 'отколкото', 'през', 'предходната', 'година', '.', 'по', 'данни', 'на', 'агенцията', 'по', 'вписванията', '(', 'ав', ')', 'пред', 'нея', 'са', 'изповядани', '185', '445', 'сделки', 'при', '201', '963', 'през', 'предишните', 'дванадесет', 'месеца', '...']","['покупкопродажбите', 'на', 'недвижими', 'имоти', 'през', 'пандемичната', '2020', 'г', 'са', 'с', '82', '', 'помалко', 'отколкото', 'през', 'предходната', 'година', 'по', 'данни', 'на', 'агенцията', 'по', 'вписванията', '', 'ав', '', 'пред', 'нея', 'са', 'изповядани', '185', '445', 'сделки', 'при', '201', '963', 'през', 'предишните', 'дванадесет', 'месеца', '']",15,10,0,1,0
"бившият премиер матео ренци изтегли в сряда партията си от коалиционното правителство на италия, вкарвайки страната в политически хаос. ренци, чиято партия ""италия вива"" е младши партньор в коалиция с ""движение 5 звезди"" и демократическата партия, заплашваше да оттегли подкрепата си за правителството на джузепе конте от дни заради несъгласие с плана за икономическо възстановяване от пандемията...",14-01-21 16:00,0,0,0,capital.bg,0,пандемията...,True,57,6.01754386,0,"['бившият', 'премиер', 'матео', 'ренци', 'изтегли', 'в', 'сряда', 'партията', 'си', 'от', 'коалиционното', 'правителство', 'на', 'италия', ',', 'вкарвайки', 'страната', 'в', 'политически', 'хаос', '.', 'ренци', ',', 'чиято', 'партия', '``', 'италия', 'вива', ""''"", 'е', 'младши', 'партньор', 'в', 'коалиция', 'с', '``', 'движение', '5', 'звезди', ""''"", 'и', 'демократическата', 'партия', ',', 'заплашваше', 'да', 'оттегли', 'подкрепата', 'си', 'за', 'правителството', 'на', 'джузепе', 'конте', 'от', 'дни', 'заради', 'несъгласие', 'с', 'плана', 'за', 'икономическо', 'възстановяване', 'от', 'пандемията', '...']","['бившият', 'премиер', 'матео', 'ренци', 'изтегли', 'в', 'сряда', 'партията', 'си', 'от', 'коалиционното', 'правителство', 'на', 'италия', 'вкарвайки', 'страната', 'в', 'политически', 'хаос', 'ренци', 'чиято', 'партия', '', 'италия', 'вива', '', 'е', 'младши', 'партньор', 'в', 'коалиция', 'с', '', 'движение', '5', 'звезди', '', 'и', 'демократическата', 'партия', 'заплашваше', 'да', 'оттегли', 'подкрепата', 'си', 'за', 'правителството', 'на', 'джузепе', 'конте', 'от', 'дни', 'заради', 'несъгласие', 'с', 'плана', 'за', 'икономическо', 'възстановяване', 'от', 'пандемията', '']",19,12,0,0,0
"обилните валежи през последните дни донесоха и една полза - нивото на язовир ""камчия"", който снабдява с вода цялото черноморие, се вдигна значително, след като месеци наред се говореше за водна криза в региона. само за 10 дни - от 4 януари до 13 януари, водния обем на язовира се е увеличил от 46.9 млн. куб.м до над 78 млн. куб.м. или това е повишение с почти 66%, което осигурява вода за бургас и варна за почти година напред.",14-01-21 15:19,18,0,5,capital.bg,0,напред.,True,79,4.430379747,0,"['обилните', 'валежи', 'през', 'последните', 'дни', 'донесоха', 'и', 'една', 'полза', '-', 'нивото', 'на', 'язовир', '``', 'камчия', ""''"", ',', 'който', 'снабдява', 'с', 'вода', 'цялото', 'черноморие', ',', 'се', 'вдигна', 'значително', ',', 'след', 'като', 'месеци', 'наред', 'се', 'говореше', 'за', 'водна', 'криза', 'в', 'региона', '.', 'само', 'за', '10', 'дни', '-', 'от', '4', 'януари', 'до', '13', 'януари', ',', 'водния', 'обем', 'на', 'язовира', 'се', 'е', 'увеличил', 'от', '46.9', 'млн', '.', 'куб.м', 'до', 'над', '78', 'млн', '.', 'куб.м', '.', 'или', 'това', 'е', 'повишение', 'с', 'почти', '66', '%', ',', 'което', 'осигурява', 'вода', 'за', 'бургас', 'и', 'варна', 'за', 'почти', 'година', 'напред', '.']","['обилните', 'валежи', 'през', 'последните', 'дни', 'донесоха', 'и', 'една', 'полза', 'нивото', 'на', 'язовир', '', 'камчия', '', 'който', 'снабдява', 'с', 'вода', 'цялото', 'черноморие', 'се', 'вдигна', 'значително', 'след', 'като', 'месеци', 'наред', 'се', 'говореше', 'за', 'водна', 'криза', 'в', 'региона', 'само', 'за', '10', 'дни', 'от', '4', 'януари', 'до', '13', 'януари', 'водния', 'обем', 'на', 'язовира', 'се', 'е', 'увеличил', 'от', '469', 'млн', 'кубм', 'до', 'над', '78', 'млн', 'кубм', 'или', 'това', 'е', 'повишение', 'с', 'почти', '66', '', 'което', 'осигурява', 'вода', 'за', 'бургас', 'и', 'варна', 'за', 'почти', 'година', 'напред']",36,17,0,1,0
"доналд тръмп вече официално е единственият президент на сащ, импийчван два пъти от камарата на представителите. той беше обвинен в едно престъпление - че е ""инициирал бунт"", като вотът мина с общо 232 гласа спрямо 197 против. от тях 222 гласа са на демократи, а 10 - на републиканци, от която партия е и тръмп.

президентът обаче ще изкара докрай мандата си, който приключва след по-малко от седмица.",14-01-21 14:30,10,0,0,capital.bg,0,седмица.,True,68,4.882352941,0,"['доналд', 'тръмп', 'вече', 'официално', 'е', 'единственият', 'президент', 'на', 'сащ', ',', 'импийчван', 'два', 'пъти', 'от', 'камарата', 'на', 'представителите', '.', 'той', 'беше', 'обвинен', 'в', 'едно', 'престъпление', '-', 'че', 'е', '``', 'инициирал', 'бунт', ""''"", ',', 'като', 'вотът', 'мина', 'с', 'общо', '232', 'гласа', 'спрямо', '197', 'против', '.', 'от', 'тях', '222', 'гласа', 'са', 'на', 'демократи', ',', 'а', '10', '-', 'на', 'републиканци', ',', 'от', 'която', 'партия', 'е', 'и', 'тръмп', '.', 'президентът', 'обаче', 'ще', 'изкара', 'докрай', 'мандата', 'си', ',', 'който', 'приключва', 'след', 'по-малко', 'от', 'седмица', '.']","['доналд', 'тръмп', 'вече', 'официално', 'е', 'единственият', 'президент', 'на', 'сащ', 'импийчван', 'два', 'пъти', 'от', 'камарата', 'на', 'представителите', 'той', 'беше', 'обвинен', 'в', 'едно', 'престъпление', 'че', 'е', '', 'инициирал', 'бунт', '', 'като', 'вотът', 'мина', 'с', 'общо', '232', 'гласа', 'спрямо', '197', 'против', 'от', 'тях', '222', 'гласа', 'са', 'на', 'демократи', 'а', '10', 'на', 'републиканци', 'от', 'която', 'партия', 'е', 'и', 'тръмп', 'президентът', 'обаче', 'ще', 'изкара', 'докрай', 'мандата', 'си', 'който', 'приключва', 'след', 'помалко', 'от', 'седмица']",31,14,0,1,0
"лекарството, което до момента е разрешено само за ветеринарна употреба в българия, но е нарочено за новата панацея срещу ковид, както се случи преди това с хидкроксихлороквина, азитромицина и ремдисивира, е и много по-достъпно от всички тях. така то се превърна в забранения плод, който според конспиративните теории, битуващи в социалните медии, е крит от хората, защото е евтин и разваля бизнеса на ""голямата фарма""...",14-01-21 13:30,52,11,9,capital.bg,0,"фарма""...",True,65,5.476923077,0,"['лекарството', ',', 'което', 'до', 'момента', 'е', 'разрешено', 'само', 'за', 'ветеринарна', 'употреба', 'в', 'българия', ',', 'но', 'е', 'нарочено', 'за', 'новата', 'панацея', 'срещу', 'ковид', ',', 'както', 'се', 'случи', 'преди', 'това', 'с', 'хидкроксихлороквина', ',', 'азитромицина', 'и', 'ремдисивира', ',', 'е', 'и', 'много', 'по-достъпно', 'от', 'всички', 'тях', '.', 'така', 'то', 'се', 'превърна', 'в', 'забранения', 'плод', ',', 'който', 'според', 'конспиративните', 'теории', ',', 'битуващи', 'в', 'социалните', 'медии', ',', 'е', 'крит', 'от', 'хората', ',', 'защото', 'е', 'евтин', 'и', 'разваля', 'бизнеса', 'на', '``', 'голямата', 'фарма', ""''"", '...']","['лекарството', 'което', 'до', 'момента', 'е', 'разрешено', 'само', 'за', 'ветеринарна', 'употреба', 'в', 'българия', 'но', 'е', 'нарочено', 'за', 'новата', 'панацея', 'срещу', 'ковид', 'както', 'се', 'случи', 'преди', 'това', 'с', 'хидкроксихлороквина', 'азитромицина', 'и', 'ремдисивира', 'е', 'и', 'много', 'подостъпно', 'от', 'всички', 'тях', 'така', 'то', 'се', 'превърна', 'в', 'забранения', 'плод', 'който', 'според', 'конспиративните', 'теории', 'битуващи', 'в', 'социалните', 'медии', 'е', 'крит', 'от', 'хората', 'защото', 'е', 'евтин', 'и', 'разваля', 'бизнеса', 'на', '', 'голямата', 'фарма', '', '']",37,17,0,1,0
